nom_technique,description,date_application,impact_rendement,culture_id
Application de compost,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,13.9,894
Application de biopesticides,Minimisation du labour pour préserver la structure du sol.,printemps,20.3,895
Fertilisation foliaire,Ajout de compost pour améliorer la matière organique du sol.,automne,12.17,896
Rotation des cultures,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,automne,12.36,897
Éclaircissage,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,13.49,898
Irrigation goutte à goutte,Ajout de biofertilisants pour stimuler la croissance des plantes.,printemps,17.35,899
Rotation des cultures,Semis de graines directement sans travail préalable du sol.,hiver,9.42,900
Enrichissement en mycorhizes,Culture en serre pour contrôler les conditions de croissance.,hiver,9.26,901
Fertilisation foliaire,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,18.88,902
Mulchage,Culture en serre pour contrôler les conditions de croissance.,été,15.84,903
Désherbage manuel,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,automne,10.37,904
Désherbage manuel,Rotation avec des légumineuses pour enrichir le sol en azote.,printemps,4.59,905
Utilisation de cultures couvre-sol,Utilisation de pesticides biologiques pour protéger les cultures.,été,3.4,906
Culture en serre,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,automne,11.35,907
Irrigation goutte à goutte,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,automne,6.73,908
Contrôle biologique des nuisibles,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,automne,7.65,909
Application de biopesticides,Culture en serre pour contrôler les conditions de croissance.,hiver,1.66,910
Culture en serre,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,été,13.15,911
Traitement des semences,Irrigation contrôlée pour optimiser l'usage de l'eau.,hiver,7.89,912
Fertilisation au compost,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,11.56,913
Désherbage manuel,Suppression des plants trop proches pour favoriser la croissance des autres.,automne,2.66,914
Culture en serre,Application de fumier pour enrichir le sol en nutriments.,automne,4.41,915
Utilisation de variétés résistantes,Utilisation de cultures de couverture pour améliorer la santé du sol.,printemps,6.76,916
Éclaircissage des plants,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,3.76,917
Éclaircissage,Ajout de biofertilisants pour stimuler la croissance des plantes.,automne,17.38,918
Culture en serre,Irrigation contrôlée pour optimiser l'usage de l'eau.,printemps,9.62,919
Éclaircissage des plants,Culture en serre pour contrôler les conditions de croissance.,printemps,12.92,920
Culture en serre,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,été,4.94,921
Fertilisation au compost,Traitement des graines par la chaleur pour les protéger des maladies.,printemps,18.02,922
Traitement des semences,Utilisation de pesticides biologiques pour protéger les cultures.,automne,9.38,923
Désherbage manuel,Ajout de biofertilisants pour stimuler la croissance des plantes.,été,17.45,924
Technique D'engrais vert,Suppression des plants trop proches pour favoriser la croissance des autres.,été,14.28,925
Semis direct,Irrigation contrôlée pour optimiser l'usage de l'eau.,automne,1.68,926
Rotation des cultures,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,automne,9.01,927
Semis direct,Élagage des arbres pour améliorer l'exposition au soleil.,hiver,5.89,928
Paillage,Minimisation du labour pour préserver la structure du sol.,automne,10.07,929
Application de compost,Élagage des arbres pour améliorer l'exposition au soleil.,automne,17.32,930
Désherbage manuel,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,automne,18.83,931
Application de biopesticides,Ajout de biofertilisants pour stimuler la croissance des plantes.,hiver,11.49,932
Désherbage manuel,Ajout de compost pour améliorer la matière organique du sol.,automne,2.27,933
Fertilisation foliaire,Ajout de biofertilisants pour stimuler la croissance des plantes.,automne,11.65,934
Enrichissement en mycorhizes,Rotation des cultures pour réduire les parasites et maladies du sol.,automne,15.53,935
Fertilisation foliaire,Minimisation du labour pour préserver la structure du sol.,printemps,14.74,936
Application de compost,Élagage des arbres pour améliorer l'exposition au soleil.,hiver,14.46,937
Irrigation goutte à goutte,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,hiver,17.87,938
Fertilisation au compost,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,été,4.35,939
Rotation des cultures,Rotation des cultures pour réduire les parasites et maladies du sol.,automne,13.12,940
Inoculation bactérienne,Ajout de compost pour améliorer la matière organique du sol.,automne,10.77,941
Désherbage manuel,Irrigation contrôlée pour optimiser l'usage de l'eau.,été,20.32,942
Application de biopesticides,Récolte manuelle pour minimiser les pertes de récolte.,hiver,1.13,943
Irrigation goutte à goutte,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,4.01,944
Contrôle biologique des nuisibles,Ajout de champignons bénéfiques pour stimuler l’absorption des nutriments.,printemps,6.47,945
Utilisation de cultures couvre-sol,Utilisation de pesticides biologiques pour protéger les cultures.,automne,18.37,946
Inoculation bactérienne,Culture en serre pour contrôler les conditions de croissance.,printemps,14.96,947
Rotation des cultures,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,8.17,948
Mulchage,Ajout de biofertilisants pour stimuler la croissance des plantes.,hiver,15.32,949
Culture en serre,Rotation avec des légumineuses pour enrichir le sol en azote.,automne,13.54,950
Enrichissement en mycorhizes,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,14.33,951
Application de biopesticides,Traitement des graines par la chaleur pour les protéger des maladies.,été,10.55,952
Désherbage manuel,Ajout de compost pour améliorer la matière organique du sol.,hiver,3.29,953
Utilisation de cultures couvre-sol,Rotation avec des légumineuses pour enrichir le sol en azote.,printemps,4.0,954
Désherbage manuel,Culture en serre pour contrôler les conditions de croissance.,printemps,3.89,955
Semis direct,Minimisation du labour pour préserver la structure du sol.,hiver,9.96,956
Application de compost,Application de fumier pour enrichir le sol en nutriments.,printemps,4.59,957
Fertilisation foliaire,Rotation des cultures pour réduire les parasites et maladies du sol.,hiver,17.42,958
Application de biopesticides,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,été,2.19,959
Utilisation de cultures couvre-sol,Application de fumier pour enrichir le sol en nutriments.,été,13.65,960
Mulchage,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,été,3.3,961
Application de biopesticides,Rotation avec des légumineuses pour enrichir le sol en azote.,hiver,15.02,962
Traitement des semences,Semis de graines directement sans travail préalable du sol.,hiver,8.41,963
Application de biopesticides,Culture hydroponique pour une utilisation efficace de l’eau et des nutriments.,automne,7.07,964
Paillage,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,6.21,965
Semis direct,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,hiver,14.9,966
Rotation des cultures,Semis de graines directement sans travail préalable du sol.,printemps,8.97,967
Utilisation de variétés résistantes,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,été,17.64,968
Désherbage manuel,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,6.63,969
Contrôle biologique des nuisibles,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,été,18.38,970
Rotation des cultures,Utilisation de capteurs pour optimiser l'irrigation en fonction des besoins réels des plantes.,été,1.11,971
Rotation des cultures,Récolte manuelle pour minimiser les pertes de récolte.,hiver,17.0,972
Culture en serre,Élagage des arbres pour améliorer l'exposition au soleil.,automne,4.71,973
Culture en serre,Semis de graines directement sans travail préalable du sol.,été,12.96,974
Utilisation de cultures couvre-sol,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,été,10.44,975
Utilisation de variétés résistantes,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,13.64,976
Fertilisation foliaire,Paillage pour conserver l'humidité et réduire les mauvaises herbes.,été,12.0,977
Utilisation de variétés résistantes,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,11.58,978
Rotation des cultures,Ajout de biofertilisants pour stimuler la croissance des plantes.,été,6.46,979
Fertilisation au compost,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,été,3.6,980
Enrichissement en mycorhizes,Récolte manuelle pour minimiser les pertes de récolte.,été,2.47,981
Application de compost,Rotation des cultures pour réduire les parasites et maladies du sol.,printemps,14.65,982
Éclaircissage des plants,Ajout de bactéries spécifiques pour améliorer la fixation de l’azote dans le sol.,printemps,17.84,983
Rotation des cultures,Minimisation du labour pour préserver la structure du sol.,automne,20.98,984
Rotation des cultures,Irrigation contrôlée pour optimiser l'usage de l'eau.,hiver,20.73,985
Enrichissement en mycorhizes,Application de fumier pour enrichir le sol en nutriments.,hiver,13.58,986
Utilisation de cultures couvre-sol,Utilisation de cultures de couverture pour améliorer la santé du sol.,été,20.37,987
Fertilisation foliaire,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,hiver,10.17,988
Culture en serre,Utilisation de l'irrigation goutte-à-goutte pour économiser l’eau.,été,7.78,989
Éclaircissage,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,été,2.82,990
Utilisation de variétés résistantes,Ajout de compost pour améliorer la matière organique du sol.,été,14.31,991
Rotation des cultures,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,hiver,19.87,992
Irrigation goutte à goutte,Ajout de matières organiques au sol pour améliorer la rétention d’eau.,été,13.84,993
Paillage,Culture en serre pour contrôler les conditions de croissance.,été,15.73,994
Éclaircissage,Utilisation de phéromones pour attirer et capturer les insectes nuisibles.,automne,14.49,995
Utilisation de variétés résistantes,Utilisation de pesticides biologiques pour protéger les cultures.,hiver,12.73,996
Technique D'engrais vert,Traitement des graines par la chaleur pour les protéger des maladies.,hiver,11.72,997
Application de compost,Utilisation de pesticides biologiques pour protéger les cultures.,printemps,1.01,998
Traitement des semences,Plantation en bandes pour maximiser l’espace et réduire l’érosion.,printemps,13.03,999
Application de compost,Utilisation de pesticides biologiques pour protéger les cultures.,été,2.87,1000
